,Url,Price,Room,Surface,Bathroom,Floor
7993,https://www.immobiliare.it/69742102-Vendita-Bilocale-via-Norcia-Roma.html,€ 320.000,2 ,65,1 ,1
7994,https://www.immobiliare.it/64901368-Vendita-Trilocale-via-Pietro-Bembo-Roma.html,€ 255.000,3 ,85,2 ,1
7995,https://www.immobiliare.it/64814968-Vendita-Trilocale-via-Siculiana-Roma.html,€ 155.000,3 ,76,1 ,2
7996,https://www.immobiliare.it/67012469-Vendita-Appartamento-piazza-della-Liberta-Roma.html,€ 1.500.000,5+ ,260,2 ,4
7997,https://www.immobiliare.it/68563257-appartamento-in-asta-via-Aci-Castello-50-Roma.html,da € 73.800,1 ,3 ,64,1
7998,https://www.immobiliare.it/69994528-Vendita-Quadrilocale-via-Salaria-72-Roma.html,€ 569.620,4 ,163,2 ,1
7999,https://www.immobiliare.it/69319842-Vendita-Bilocale-via-di-Casal-Bertone-66-Roma.html,€ 300.000,2 ,56,1 ,2
8000,https://www.immobiliare.it/69855440-Vendita-Trilocale-via-Castelliri-Roma.html,€ 240.000,3 ,80,1 ,1
8001,https://www.immobiliare.it/69169456-Vendita-Trilocale-via-Colonnello-Tommaso-Roma.html,€ 268.000,3 ,85,2 ,4
8002,https://www.immobiliare.it/69518810-appartamento-in-asta-via-Raffaello-Nasini-Roma.html,da € 154.500,1 ,3 ,96,4
8003,https://www.immobiliare.it/70290382-Vendita-Appartamento-via-Sestio-Calvino-Roma.html,€ 495.000,5 ,101,1 ,3
8004,https://www.immobiliare.it/70371012-Vendita-Quadrilocale-via-del-Pastore-Aminta-Roma.html,€ 249.000,4 ,120,2 ,3
8005,https://www.immobiliare.it/70154650-Vendita-Quadrilocale-via-Italo-Orto-Roma.html,€ 279.000,4 ,129,2 ,1
8006,https://www.immobiliare.it/69875122-Vendita-Quadrilocale-piazza-Mattei-10-Roma.html,€ 1.350.000,4 ,140,1 ,4
8007,https://www.immobiliare.it/68381235-Vendita-Trilocale-via-Giuseppe-Perego-Roma.html,€ 450.000,3 ,119,2 ,2
8008,https://www.immobiliare.it/69197442-Vendita-Bilocale-via-Dario-Niccodemi-Roma.html,€ 469.000,2 ,70,1 ,7
8009,https://www.immobiliare.it/66832369-Vendita-Appartamento-via-Nomentana-Nuova-Roma.html,€ 399.000,5+ ,173,2 ,1
8010,https://www.immobiliare.it/67642759-Vendita-Trilocale-da-ristrutturare-secondo-piano-Roma.html,€ 200.000,3 ,100,2 ,2
8011,https://www.immobiliare.it/66248089-appartamento-in-asta-via-Giacomo-Galopini-42-Roma.html,da € 86.887,1 ,5 ,88,4
8012,https://www.immobiliare.it/67924061-appartamento-in-asta-via-Clementino-Vannetti-Roma.html,da € 66.000,1 ,2 ,72,1
8013,https://www.immobiliare.it/64818400-Vendita-Trilocale-via-di-Casal-Palocco-126-Roma.html,€ 479.000,3 ,110,2 ,2
8014,https://www.immobiliare.it/67735055-Vendita-Bilocale-via-Cesare-Ricotti-Roma.html,€ 220.000,2 ,65,1 ,5
8015,https://www.immobiliare.it/66933873-Vendita-Monolocale-via-Francesco-Negri-Roma.html,€ 200.000,1 ,40,1 ,2
8016,https://www.immobiliare.it/68955891-Vendita-Quadrilocale-largo-Cosoleto-Roma.html,€ 360.000,4 ,120,2 ,1
8017,https://www.immobiliare.it/69875500-Vendita-Trilocale-via-Acciaroli-Roma.html,€ 209.000,3 ,78,2 ,2
8018,https://www.immobiliare.it/69948834-Vendita-Quadrilocale-via-Asterio-Roma.html,€ 195.000,4 ,100,1 ,2
8019,https://www.immobiliare.it/64270980-Vendita-Appartamento-via-Piave-Roma.html,€ 950.000,5 ,160,3 ,1
8020,https://www.immobiliare.it/69320922-Vendita-Appartamento-via-della-Stazione-di-Prima-Roma.html,€ 170.000,5 ,135,2 ,4
8021,https://www.immobiliare.it/69875208-Vendita-Trilocale-via-Acciaroli-Roma.html,€ 199.000,3 ,72,1 ,2
8022,https://www.immobiliare.it/66603139-Vendita-Trilocale-largo-dell-Olgiata-15-Roma.html,€ 179.000,3 ,75,2 ,2
8023,https://www.immobiliare.it/69655154-Vendita-Bilocale-via-Gerolamo-Cardano-124-Roma.html,€ 248.000,2 ,73,2 ,5
8024,https://www.immobiliare.it/70442220-Vendita-Trilocale-via-Bracciano-40-Roma.html,€ 248.000,3 ,92,2 ,1
8025,https://www.immobiliare.it/69327176-Vendita-Trilocale-via-ambrogio-traversari-72-Roma.html,€ 390.000,3 ,135,3 ,1
8026,https://www.immobiliare.it/69241502-Vendita-Quadrilocale-buono-stato-primo-piano-Roma.html,€ 585.000,4 ,130,2 ,1
8027,https://www.immobiliare.it/65870117-Vendita-Appartamento-via-Caio-Mario-Roma.html,€ 1.200.000,€ 3.245,3.245,al mese,6
8028,https://www.immobiliare.it/69830336-Vendita-Trilocale-via-Filippo-Fiorentini-Roma.html,€ 310.000,3 ,100,1 ,3
8029,https://www.immobiliare.it/67217099-Vendita-Quadrilocale-via-Giovanni-Caselli-39-Roma.html,€ 370.000,4 ,115,2 ,7
8030,https://www.immobiliare.it/62832892-Vendita-Quadrilocale-via-Ada-Negri-Roma.html,€ 269.000,4 ,80,2 ,2
8031,https://www.immobiliare.it/68810197-Vendita-Attico-Mansarda-via-Montemaggiore-Belsito-Roma.html,€ 215.000,4 ,120,2 ,3
8032,https://www.immobiliare.it/67628463-Vendita-Quadrilocale-via-Quirino-Roscioni-Roma.html,€ 269.000,4 ,124,2 ,2
8033,https://www.immobiliare.it/64054282-Vendita-Quadrilocale-via-Manlio-di-Veroli-Roma.html,€ 500.000,4 ,135,2 ,6
8034,https://www.immobiliare.it/70459448-Vendita-Quadrilocale-via-Edoardo-Jenner-Roma.html,€ 375.000,4 ,110,2 ,1
8035,https://www.immobiliare.it/63659692-Vendita-Quadrilocale-via-Beinasco-15-Roma.html,€ 285.000,4 ,91,2 ,1
8036,https://www.immobiliare.it/59569284-Vendita-Trilocale-nuovo-terzo-piano-Roma.html,€ 178.000,3 ,100,1 ,3
8037,https://www.immobiliare.it/65937197-Vendita-Bilocale-via-Emilio-Lepido-Roma.html,€ 260.000,2 ,85,1 ,4
8038,https://www.immobiliare.it/70202882-Vendita-Bilocale-via-Ugo-Pesci-Roma.html,€ 150.000,2 ,45,1 ,1
8039,https://www.immobiliare.it/70413340-Vendita-Trilocale-via-Avidio-Cassio-32-Roma.html,€ 275.000,3 ,82,2 ,5
8040,https://www.immobiliare.it/68390787-Vendita-Attico-Mansarda-via-Cassia-1840-Roma.html,€ 370.000,4 ,148,2 ,2
8041,https://www.immobiliare.it/67835279-Vendita-Quadrilocale-via-Dei-Damasceni-41-Roma.html,€ 415.000,4 ,120,2 ,1
8042,https://www.immobiliare.it/67717483-Vendita-Trilocale-via-Gorlago-Roma.html,€ 269.000,3 ,92,2 ,2
8043,https://www.immobiliare.it/70174656-Vendita-Trilocale-via-Carlo-Alberto-Pizzini-26-Roma.html,€ 255.000,3 ,70,2 ,1
8044,https://www.immobiliare.it/66434481-Vendita-Quadrilocale-via-dell-orsa-minore-Roma.html,€ 335.000,4 ,80,1 ,3
8045,https://www.immobiliare.it/59733748-Vendita-Monolocale-via-Rocca-di-Papa-6-Roma.html,€ 270.000,1 ,43,1 ,3
8046,https://www.immobiliare.it/48230989-Vendita-Bilocale-via-dell-assunzione-40-Roma.html,€ 169.000,2 ,65,1 ,3
8047,https://www.immobiliare.it/64620912-Vendita-Quadrilocale-via-Vittorio-Locchi-Roma.html,€ 1.330.000,4 ,160,2 ,3
8048,https://www.immobiliare.it/70134956-Vendita-Trilocale-via-Serafino-Belfanti-Roma.html,€ 214.000,3 ,80,2 ,3
8049,https://www.immobiliare.it/69197332-Vendita-Bilocale-via-Dario-Niccodemi-Roma.html,€ 451.000,2 ,67,1 ,7
8050,https://www.immobiliare.it/68871193-Vendita-Bilocale-via-Luigi-Tosti-Roma.html,€ 245.000,2 ,65,1 ,1
8051,https://www.immobiliare.it/68018605-Vendita-Trilocale-via-Fratelli-Mazzocchi-56-Roma.html,€ 128.000,3 ,119,1 ,3
8052,https://www.immobiliare.it/69253830-Vendita-Appartamento-via-Gabrio-Casati-Roma.html,€ 429.000,5 ,155,2 ,3
8053,https://www.immobiliare.it/65642603-Vendita-Trilocale-via-Roccalumera-Roma.html,€ 129.000,3 ,69,1 ,1
8054,https://www.immobiliare.it/70172828-Vendita-Quadrilocale-via-Giovanni-Mayer-Roma.html,€ 449.000,4 ,110,2 ,2
8055,https://www.immobiliare.it/65556882-Vendita-Attico-Mansarda-via-Campo-Bruno-46-Roma.html,€ 219.000,4 ,150,2 ,2
8056,https://www.immobiliare.it/70253246-Vendita-Trilocale-via-Vincenzo-Tizzani-35-Roma.html,€ 439.000,3 ,100,2 ,1
8057,https://www.immobiliare.it/68423435-Vendita-Trilocale-via-Quirino-Majorana-Roma.html,€ 310.000,€ 838,838,al mese,2
8058,https://www.immobiliare.it/68279825-appartamento-in-asta-via-Agostino-Mitelli-44-Roma.html,da € 57.600,1 ,3 ,90,4
8059,https://www.immobiliare.it/64832122-Vendita-Trilocale-via-Montecassiano-Roma.html,€ 214.000,3 ,88,2 ,3
8060,https://www.immobiliare.it/65666005-Vendita-Attico-Mansarda-via-Castiglione-d-Orcia-Roma.html,€ 560.000,3 ,221,2 ,5
