,Url,Price,Room,Surface,Bathroom,Floor
51,https://www.immobiliare.it/68259419-Vendita-Appartamento-via-benedetto-musolino-Roma.html,675000.0,6,190,2,6
52,https://www.immobiliare.it/70328056-Vendita-Quadrilocale-via-Trionfale-6816-Roma.html,520000.0,4,122,3,4
53,https://www.immobiliare.it/70183442-Vendita-Trilocale-viale-delle-Provincie-Roma.html,645000.0,3,118,2,4
54,https://www.immobiliare.it/70105452-Vendita-Quadrilocale-via-Virgilio-Melandri-30-Roma.html,255000.0,4,130,2,1
55,https://www.immobiliare.it/69127048-Vendita-Trilocale-piazza-di-Ponte-Lungo-Roma.html,345000.0,3,70,2,6
56,https://www.immobiliare.it/70269358-Vendita-Bilocale-via-Sulbiate-Roma.html,130000.0,2,49,1,1
57,https://www.immobiliare.it/68632451-Vendita-Attico-Mansarda-via-Riccardo-Zandonai-Roma.html,2900000.0,6,592,4,4
58,https://www.immobiliare.it/68640533-Vendita-Trilocale-via-DELLE-RONDINI-Roma.html,169000.0,3,90,1,1
59,https://www.immobiliare.it/69319780-Vendita-Trilocale-via-Luigi-Lucatelli-4-Roma.html,199000.0,3,94,1,3
60,https://www.immobiliare.it/67715597-Vendita-Appartamento-via-Alberto-Caroncini-Roma.html,850000.0,6,183,2,2
61,https://www.immobiliare.it/53443286-Vendita-Monolocale-via-Carlo-Alberto-Cortina-1-Roma.html,174000.0,1,43,1,6
62,https://www.immobiliare.it/69552724-Vendita-Appartamento-via-dei-Monti-Parioli-Roma.html,1590000.0,6,225,4,2
63,https://www.immobiliare.it/69613394-Vendita-Trilocale-via-Arnaldo-Cantani-Roma.html,269000.0,3,87,2,3
64,https://www.immobiliare.it/68018323-Vendita-Appartamento-via-Mario-Fani-Roma.html,480000.0,6,135,2,3
65,https://www.immobiliare.it/67624753-Vendita-Attico-Mansarda-largo-Leopoldo-Fregoli-Roma.html,2450000.0,6,378,4,4
66,https://www.immobiliare.it/69846410-Vendita-Bilocale-via-dei-Prati-Fiscali-345-Roma.html,259000.0,2,70,1,1
67,https://www.immobiliare.it/68885319-Vendita-Appartamento-via-Luigi-Bodio-Roma.html,560000.0,6,140,3,1
68,https://www.immobiliare.it/65569288-Vendita-Trilocale-via-Mordano-Roma.html,175000.0,3,75,2,1
69,https://www.immobiliare.it/69081644-Vendita-Trilocale-via-Raffaele-Battistini-Roma.html,320000.0,3,100,2,3
70,https://www.immobiliare.it/69668334-Vendita-Quadrilocale-via-di-montemignaio-Roma.html,650000.0,4,130,2,1
71,https://www.immobiliare.it/68793613-Vendita-Trilocale-viale-DEI-PROMONTORI-Roma.html,185000.0,3,75,1,4
72,https://www.immobiliare.it/68004519-Vendita-Quadrilocale-viale-dei-Caduti-per-la-Roma.html,295000.0,4,128,2,9
73,https://www.immobiliare.it/68337999-Vendita-Bilocale-viale-San-Giovanni-Bosco-Roma.html,215000.0,2,76,1,4
74,https://www.immobiliare.it/70043174-Vendita-Bilocale-via-Sant-Elpidio-a-Mare-Roma.html,129000.0,2,67,1,1
75,https://www.immobiliare.it/69573332-Vendita-Attico-Mansarda-via-federico-di-donato-Roma.html,222000.0,2,57,1,4
76,https://www.immobiliare.it/70152070-Vendita-Appartamento-viale-Giotto-Roma.html,790000.0,6,169,2,1
77,https://www.immobiliare.it/67741547-Vendita-Appartamento-via-dei-Colli-della-Farnesina-Roma.html,1250000.0,6,290,4,2
78,https://www.immobiliare.it/68925671-Vendita-Quadrilocale-via-dei-Baullari-129-Roma.html,1150000.0,4,115,2,2
79,https://www.immobiliare.it/68283971-Vendita-Trilocale-via-Nocera-Umbra-Roma.html,309000.0,3,103,1,6
80,https://www.immobiliare.it/68284257-Vendita-Trilocale-via-Anagnina-273-Roma.html,220000.0,3,61,1,1
81,https://www.immobiliare.it/70258024-Vendita-Trilocale-via-Celleno-33-Roma.html,149000.0,3,58,1,3
82,https://www.immobiliare.it/67742041-Vendita-Appartamento-via-dei-Colli-della-Farnesina-Roma.html,1120000.0,6,241,4,3
